issn;journal_title;oa_model;apc;year;;;
1396-5883;European Journal of Dental Education;Hybrid;3000;2013;;;
0141-8211;European Journal of Education;Hybrid;3000;2013;;;
0902-4441;European Journal of Haematology;Hybrid;3000;2013;;;
0014-2980;European Journal of Immunology;Hybrid;3000;2013;;;
1438-7697;European Journal of Lipid Science and Technology;Hybrid;3000;2013;;;
1351-5101;European Journal of Neurology;Hybrid;3000;2013;;;
0953-816x;European Journal of Neuroscience;Hybrid;3000;2013;;;
0909-8836;European Journal of Oral Sciences;Hybrid;3000;2013;;;
1090-3801;European Journal of Pain;Hybrid;3000;2013;;;
0890-2070;European Journal of Personality;Hybrid;3000;2013;;;
0966-8373;European Journal of Philosophy;Hybrid;3000;2013;;;
0304-4130;European Journal of Political Research;Hybrid;3000;2013;;;
2047-8844;European Journal of Political Research Political Data Yearbook;Hybrid;3000;2013;;;
0046-2772;European Journal of Social Psychology;Hybrid;3000;2013;;;
1351-5993;European Law Journal;Hybrid;3000;2013;;;
1740-4754;European Management Review;Hybrid;3000;2013;;;
1430-144x;European Transactions on Electrical Power;Hybrid;3000;2013;;;
1557-6272;Evidence-Based Child Health: A Cochrane Review Journal;Hybrid;3000;2013;;;
0014-3820;Evolution;Hybrid;3000;2013;;;
1520-541x;"Evolution &amp; Development";Hybrid;3000;2013;;;
1060-1538;Evolutionary Anthropology;Hybrid;3000;2013;;;
0906-6705;Experimental Dermatology;Hybrid;3000;2013;;;
0958-0670;Experimental Physiology;Hybrid;3000;2013;;;
0732-8818;Experimental Techniques;Hybrid;3000;2013;;;
0266-4720;Expert Systems;Hybrid;3000;2013;;;
1077-727x;"Family &amp; Consumer Sciences Research Journal";Hybrid;3000;2013;;;
1531-2445;Family Court Review;Hybrid;3000;2013;;;
0014-7370;Family Process;Hybrid;3000;2013;;;
0197-6664;Family Relations;Hybrid;3000;2013;;;
8756-758x;"Fatigue &amp; Fracture of Engineering Materials &amp; Structures";Hybrid;3000;2013;;;
1742-464x;FEBS Journal;Hybrid;3000;2013;;;
0014-8962;Feddes Repertorium;Hybrid;3000;2013;;;
0928-8244:99;"FEMS Immunology &amp; Medical Microbiology";Hybrid;3000;2013;;;
0168-6496;FEMS Microbiology Ecology;Hybrid;3000;2013;;;
0378-1097;FEMS Microbiology letters;Hybrid;3000;2013;;;
0168-6445;FEMS Microbiology reviews;Hybrid;3000;2013;;;
1567-1356;FEMS Yeast Research;Hybrid;3000;2013;;;
0267-4424;"Financial Accountability &amp; Management";Hybrid;3000;2013;;;
0046-3892;Financial Management;Hybrid;3000;2013;;;
0963-8008;"Financial Markets, Institutions &amp; Instruments";Hybrid;3000;2013;;;
0732-8516;Financial Review;Hybrid;3000;2013;;;
0308-0501;Fire and Materials;Hybrid;3000;2013;;;
0143-5671;Fiscal Studies;Hybrid;3000;2013;;;
1467-2960;Fish and Fisheries;Hybrid;3000;2013;;;
0969-997x;"Fisheries Management &amp; Ecology";Hybrid;3000;2013;;;
1054-6006;Fisheries Oceanography;Hybrid;3000;2013;;;
0882-5734;Flavour and Fragrance Journal;Hybrid;3000;2013;;;
1465-3753;Focus on Alternative and Complementary Therapies;Hybrid;3000;2013;;;
1549-4934;Focus on Geography;Hybrid;3000;2013;;;
0015-718x;Foreign Language Annals;Hybrid;3000;2013;;;
1743-8586;Foreign Policy Analysis;Hybrid;3000;2013;;;
1437-4781;Forest Pathology;Hybrid;3000;2013;;;
0172-1518;Forschung;Hybrid;3000;2013;;;
0015-8208;Fortschritte der Physik/Progress of Physics;Hybrid;3000;2013;;;
1435-1943;Fossil Record-Mitteilungen aus dem Museum fuer Naturkunde;Hybrid;3000;2013;;;
0046-5070;Freshwater Biology;Hybrid;3000;2013;;;
0269-8463;Functional Ecology;Hybrid;3000;2013;;;
0767-3981;"Fundamental &amp; Clinical Pharmacology";Hybrid;3000;2013;;;
1468-9871;Future Prescriber;Hybrid;3000;2013;;;
0936-7195;GAMM - Mitteilungen;Hybrid;3000;2013;;;
0953-5233;"Gender &amp; History";Hybrid;3000;2013;;;
0968-6673;"Gender, Work &amp; Organisation";Hybrid;3000;2013;;;
1537-1727;General Anthropology;Hybrid;3000;2013;;;
1356-9597;Genes to Cells;Hybrid;3000;2013;;;
1601-1848;Genes, Brain and Behaviour;Hybrid;3000;2013;;;
1045-2257;Genes, Chromosomes and Cancer;Hybrid;3000;2013;;;
1526-954x;Genesis;Hybrid;3000;2013;;;
0741-0395;Genetic Epidemiology;Hybrid;3000;2013;;;
0883-6353;Geoarchaeology;Hybrid;3000;2013;;;
1472-4677;Geobiology;Hybrid;3000;2013;;;
5432-1099;Geochemistry, Geophysics, Geosystems;Hybrid;3000;2013;;;
1468-8115;Geofluids;Hybrid;3000;2013;;;
0435-3676;Geografiska Annaler Series A;Hybrid;3000;2013;;;
0435-3684;Geografiska Annaler Series B;Hybrid;3000;2013;;;
1745-5863 ;Geographical Research;Hybrid;3000;2013;;;
0016-7428;Geographical Review;Hybrid;3000;2013;;;
1749-8198;Geography Compass;Hybrid;3000;2013;;;
0072-1050;Geological Journal;Hybrid;3000;2013;;;
0266-6979;Geology Today;Hybrid;3000;2013;;;
1865-7362;Geomechanics and Tunnelling;Hybrid;3000;2013;;;
0956-540x;Geophysical Journal International;Hybrid;3000;2013;;;
0016-8025;Geophysical Prospecting;Hybrid;3000;2013;;;
0094-8276;Geophysical Research Letters;Hybrid;3000;2013;;;
1639-4488;"Geostandards &amp; Geoanalytical Research";Hybrid;3000;2013;;;
0172-6145;geotechnik ;Hybrid;3000;2013;;;
1444-1586;"Geriatrics &amp; Gerontology International";Hybrid;3000;2013;;;
0016-8777;German Life and Letters;Hybrid;3000;2013;;;
0172-1526;German Research;Hybrid;3000;2013;;;
0734-0664;Gerodontology;Hybrid;3000;2013;;;
0894-1491;GLIA;Hybrid;3000;2013;;;
0886-6236;Global Biogeochemical Cycles;Hybrid;3000;2013;;;
1354-1013;Global Change Biology;Hybrid;3000;2013;;;
1757-1693;Global Change Biology Bioenergy;Hybrid;3000;2013;;;
1466-822x;Global Ecology and Biogeography;Hybrid;3000;2013;;;
1470-2266;Global Networks;Hybrid;3000;2013;;;
1758-5880;Global Policy;Hybrid;3000;2013;;;
2042-5791;Global Strategy Journal;Hybrid;3000;2013;;;
0952-1895;Governance;Hybrid;3000;2013;;;
0142-5242;Grass and Forage Science;Hybrid;3000;2013;;;
1744-6961;Grassland Science;Hybrid;3000;2013;;;
2152-3878;Greenhouse Gases: Science and Technology;Hybrid;3000;2013;;;
0017-467x;Ground Water;Hybrid;3000;2013;;;
1069-3629;"Ground Water Monitoring &amp; Remediation";Hybrid;3000;2013;;;
0017-4815;Growth and Change;Hybrid;3000;2013;;;
0278-0232;Haematological Oncology;Hybrid;3000;2013;;;
1351-8216;Haemophilia;Hybrid;3000;2013;;;
0093-0334;Hastings Center Report;Hybrid;3000;2013;;;
1043-3074;"Head &amp; Neck: Journal for The Sciences &amp; Specialties of The Head and Neck";Hybrid;3000;2013;;;
0017-8748;Headache;Hybrid;3000;2013;;;
0966-0410;Health and Social Care in the Community;Hybrid;3000;2013;;;
1057-9230;Health Economics;Hybrid;3000;2013;;;
1369-6513;Health Expectations;Hybrid;3000;2013;;;
1934-6077;Health for Women;Hybrid;3000;2013;;;
1471-1834;Health Information and Libraries Journal;Hybrid;3000;2013;;;
0017-9124;Health Services Research;Hybrid;3000;2013;;;
1099-2871;Heat Transfer - Asian Research;Hybrid;3000;2013;;;
1083-4389;Helicobacter;Hybrid;3000;2013;;;
0018-019x;Helvetica Chimica Acta;Hybrid;3000;2013;;;
1492-7535;Hemodialysis International;Hybrid;3000;2013;;;
0270-9139;Hepatology;Hybrid;3000;2013;;;
1386-6346;Hepatology Research;Hybrid;3000;2013;;;
1042-7163;Heteroatom Chemistry;Hybrid;3000;2013;;;
0951-5224;Higher Education Quarterly;Hybrid;3000;2013;;;
1050-9631;Hippocampus;Hybrid;3000;2013;;;
0309-0167;Histopathology;Hybrid;3000;2013;;;
0950-3471;Historical Research;Hybrid;3000;2013;;;
0018-2648;History;Hybrid;3000;2013;;;
0018-2656;History and Theory;Hybrid;3000;2013;;;
1478-0542;History Compass;Hybrid;3000;2013;;;
0018-2680;History of Education Quarterly;Hybrid;3000;2013;;;
1464-2662;HIV Medicine;Hybrid;3000;2013;;;
0265-5527;Howard Journal of Criminal Justice;Hybrid;3000;2013;;;
1365-182x;HPB;Hybrid;3000;2013;;;
1065-9471;Human Brain Mapping;Hybrid;3000;2013;;;
0360-3989;Human Communication Research;Hybrid;3000;2013;;;
1090-8471;"Human Factors and Ergonomics in Manufacturing &amp; Service Industries";Hybrid;3000;2013;;;
1059-7794;Human Mutation;Hybrid;3000;2013;;;
0885-6222;Human Psychopharmacology;Hybrid;3000;2013;;;
0954-5395;Human Resource Management Journal;Hybrid;3000;2013;;;
0885-6087;Hydrological Processes;Hybrid;3000;2013;;;
0887-5367;Hypatia;Hybrid;3000;2013;;;
0019-1019;Ibis;Hybrid;3000;2013;;;
0265-5012;IDS Bulletin;Hybrid;3000;2013;;;
1433-3317;Imaging Decisions;Hybrid;3000;2013;;;
0105-2896;Immunological Reviews;Hybrid;3000;2013;;;
0019-2805;Immunology;Hybrid;3000;2013;;;
0905-6947;Indoor Air;Hybrid;3000;2013;;;
1754-9426;Industrial and Organizational Psychology;Hybrid;3000;2013;;;
0019-8692;Industrial Relations Journal;Hybrid;3000;2013;;;
1525-0008;Infancy;Hybrid;3000;2013;;;
1522-7227;Infant and Child Development;Hybrid;3000;2013;;;
1078-0998;Inflammatory Bowel Diseases;Hybrid;3000;2013;;;
1750-2640;Influenza and Other Respiratory Viruses;Hybrid;3000;2013;;;
1750-4740;infocus Magazine;Hybrid;3000;2013;;;
1350-1917;Information Systems Journal;Hybrid;3000;2013;;;
0268-1102;Information Technology for Development;Hybrid;3000;2013;;;
1752-458x;Insect Conservation and Diversity;Hybrid;3000;2013;;;
0962-1075;Insect Molecular Biology;Hybrid;3000;2013;;;
1672-9609;Insect Science;Hybrid;3000;2013;;;
1551-3777;Integrated Environmental Assessment and Management;Hybrid;3000;2013;;;
1749-4877;Integrative Zoology;Hybrid;3000;2013;;;
1055-615x;"Intelligent Systems in Accounting, Finance &amp; Management";Hybrid;3000;2013;;;
1444-0903;Internal Medicine Journal;Hybrid;3000;2013;;;
0020-5850;International Affairs;Hybrid;3000;2013;;;
0020-6539;International Dental Journal;Hybrid;3000;2013;;;
0143-2885;International Endodontic Journal;Hybrid;3000;2013;;;
1367-0271;International Finance;Hybrid;3000;2013;;;
2042-6976;"International Forum of Allergy &amp; Rhinology";Hybrid;3000;2013;;;
1180-0518;International Insolvency Review;Hybrid;3000;2013;;;
0363-9061;International Journal for Numerical and Analytical Methods in Geomechanics;Hybrid;3000;2013;;;
2040-7939;International Journal for Numerical Methods in Biomedical Engineering;Hybrid;3000;2013;;;
0029-5981;International Journal for Numerical Methods in Engineering;Hybrid;3000;2013;;;
0271-2091;International Journal for Numerical Methods in Fluids;Hybrid;3000;2013;;;
1748-3735;International Journal for Older People Nursing;Hybrid;3000;2013;;;
0890-6327;International Journal of Adaptive Control and Signal Processing;Hybrid;3000;2013;;;
0105-6263;International Journal of Andrology;Hybrid;3000;2013;;;
1546-542x;International Journal of Applied Ceramic Technology;Hybrid;3000;2013;;;
2041-1286;International Journal of Applied Glass Science;Hybrid;3000;2013;;;
0802-6106;International Journal of Applied Linguistics;Hybrid;3000;2013;;;
1742-3341;International Journal of Applied Psychoanalytic Studies;Hybrid;3000;2013;;;
1476-8062;"International Journal of Art &amp; Design Education";Hybrid;3000;2013;;;
1090-6738;International Journal of Auditing;Hybrid;3000;2013;;;
0020-7136;International Journal of Cancer;Hybrid;3000;2013;;;
0538-8066;International Journal of Chemical Kinetics;Hybrid;3000;2013;;;
0098-9886;International Journal of Circuit Theory and Applications;Hybrid;3000;2013;;;
0899-8418;International Journal of Climatology;Hybrid;3000;2013;;;
1368-5031;International Journal of Clinical Practice;Hybrid;3000;2013;;;
1074-5351;International Journal of Communication Systems;Hybrid;3000;2013;;;
1470-6423;International Journal of Consumer Studies;Hybrid;3000;2013;;;
0142-5463;International Journal of Cosmetic Science;Hybrid;3000;2013;;;
1364-727x;International Journal of Dairy Technology;Hybrid;3000;2013;;;
1601-5029;International Journal of Dental Hygiene;Hybrid;3000;2013;;;
0011-9059;International Journal of Dermatology;Hybrid;3000;2013;;;
0276-3478;International Journal of Eating Disorders;Hybrid;3000;2013;;;
0363-907x;International Journal of Energy Research;Hybrid;3000;2013;;;
1744-1595;International Journal of Evidence Based Healthcare;Hybrid;3000;2013;;;
0959-9673;International Journal of Experimental Pathology;Hybrid;3000;2013;;;
1076-9307;"International Journal of Finance &amp; Economics";Hybrid;3000;2013;;;
0950-5423;International Journal of Food Science and Technology;Hybrid;3000;2013;;;
0885-6230;International Journal of Geriatric Psychiatry;Hybrid;3000;2013;;;
0749-6753;International Journal of Health Planning and Management;Hybrid;3000;2013;;;
0899-9457;International Journal of Imaging Systems and Technology;Hybrid;3000;2013;;;
1744-3121;International Journal of Immunogenetics;Hybrid;3000;2013;;;
0884-8173;International Journal of Intelligent Systems;Hybrid;3000;2013;;;
1751-5521;International Journal of Laboratory Hematology;Hybrid;3000;2013;;;
1368-2822;"International Journal of Language &amp; Communication Disorders";Hybrid;3000;2013;;;
1445-8330;International Journal of Mental Health Nursing;Hybrid;3000;2013;;;
1049-8931;International Journal of Methods in Psychiatric Research;Hybrid;3000;2013;;;
1057-2414;International Journal of Nautical Archaeology;Hybrid;3000;2013;;;
1055-7148;International Journal of Network Management;Hybrid;3000;2013;;;
1465-4520;"International Journal of Nonprofit &amp; Voluntary Sector Marketing";Hybrid;3000;2013;;;
0894-3370;International Journal of Numerical Modelling: Electronic Networks, Devices and Fields;Hybrid;3000;2013;;;
2047-3087;International Journal of Nursing Knowledge;Hybrid;3000;2013;;;
1322-7114;International Journal of Nursing Practice;Hybrid;3000;2013;;;
1047-482x;International Journal of Osteoarchaeology;Hybrid;3000;2013;;;
0960-7439;International Journal of Paediatric Dentistry;Hybrid;3000;2013;;;
0961-7671;International Journal of Pharmacy Practice;Hybrid;3000;2013;;;
0020-7608;International Journal of Quantum Chemistry;Hybrid;3000;2013;;;
1096-4290;International Journal of RF and Microwave Computer-Aided Engineering;Hybrid;3000;2013;;;
1756-1841;International Journal of Rheumatic Diseases;Hybrid;3000;2013;;;
1049-8923;International Journal of Robust and Nonlinear Control;Hybrid;3000;2013;;;
1542-0973;International Journal of Satellite Communications and Networking;Hybrid;3000;2013;;;
0965-075x;International Journal of Selection and Assessment;Hybrid;3000;2013;;;
1369-6866;International Journal of Social Welfare;Hybrid;3000;2013;;;
1747-4930;International Journal of Stroke;Hybrid;3000;2013;;;
1463-1652;International Journal of Systematic Theology;Hybrid;3000;2013;;;
1099-2340;International Journal of Tourism Research;Hybrid;3000;2013;;;
1360-3736;International Journal of Training and Development;Hybrid;3000;2013;;;
0309-1317;International Journal of Urban and Regional Research;Hybrid;3000;2013;;;
1749-7701;International Journal of Urological Nursing;Hybrid;3000;2013;;;
0919-8172;International Journal of Urology;Hybrid;3000;2013;;;
0020-7780;International Labour Review;Hybrid;3000;2013;;;
0020-7985;International Migration;Hybrid;3000;2013;;;
0197-9183;International Migration Review;Hybrid;3000;2013;;;
0020-8132;International Nursing Review;Hybrid;3000;2013;;;
1749-5679;International Political Sociology;Hybrid;3000;2013;;;
1369-412x;International Review of Finance;Hybrid;3000;2013;;;
1434-2944;International Review of Hydrobiology;Hybrid;3000;2013;;;
0020-8582;International Review of Mission;Hybrid;3000;2013;;;
0020-8701;International Social Science Journal;Hybrid;3000;2013;;;
0020-871x;International Social Security Review;Hybrid;3000;2013;;;
0306-7734;International Statistical Review;Hybrid;3000;2013;;;
1528-3577;International Studies Perspectives;Hybrid;3000;2013;;;
0020-8833;International Studies Quarterly;Hybrid;3000;2013;;;
0969-6016;International Transactions In Operational Research;Hybrid;3000;2013;;;
1742-4801;International Wound Journal;Hybrid;3000;2013;;;
0074-9664;International Zoo Yearbook;Hybrid;3000;2013;;;
0379-0282;Internationale Revue fur Soziale Sicherheit;Hybrid;3000;2013;;;
1077-8306;Invertebrate Biology;Hybrid;3000;2013;;;
1531-0353;Irrigation and Drainage;Hybrid;3000;2013;;;
1751-2816;ISBT Science Series;Hybrid;3000;2013;;;
1038-4871;Island Arc;Hybrid;3000;2013;;;
1521-6543;IUBMB Life;Hybrid;3000;2013;;;
0021-9886;JCMS: Journal of Common Market Studies;Hybrid;3000;2013;;;
1610-0379;Journal der Deutschen Dermatologischen Gesellschaft (JDDG);Hybrid;3000;2013;;;
1754-0194;Journal For Eighteenth-Century Studies;Hybrid;3000;2013;;;
1062-2551;Journal for Healthcare Quality;Hybrid;3000;2013;;;
1539-0136;Journal for Specialists in Pediatric Nursing;Hybrid;3000;2013;;;
0021-8294;Journal for the Scientific Study of Religion;Hybrid;3000;2013;;;
0021-8308;Journal for the Theory of Social Behaviour;Hybrid;3000;2013;;;
1055-3835;"Journal of Addictions &amp; Offender Counseling";Hybrid;3000;2013;;;
1081-3004;"Journal of Adolescent &amp; Adult Literacy";Hybrid;3000;2013;;;
0309-2402;Journal of Advanced Nursing;Hybrid;3000;2013;;;
0197-6729;Journal of Advanced Transportation;Hybrid;3000;2013;;;
0021-8529;Journal of Aesthetics and Art Criticism;Hybrid;3000;2013;;;
1471-0358;Journal of Agrarian Change;Hybrid;3000;2013;;;
0021-857x;Journal of Agricultural Economics;Hybrid;3000;2013;;;
0931-2250;Journal of Agronomy and Crop Science;Hybrid;3000;2013;;;
0002-8614;Journal of American Geriatrics Society;Hybrid;3000;2013;;;
0021-8782;Journal of Anatomy;Hybrid;3000;2013;;;
0931-2668;Journal of Animal Breeding and Genetics;Hybrid;3000;2013;;;
0021-8790;Journal of Animal Ecology;Hybrid;3000;2013;;;
0931-2439;Journal of Animal Physiology and Animal Nutrition;Hybrid;3000;2013;;;
1071-2089;Journal of Applied Biobehavioral Research;Hybrid;3000;2013;;;
1078-1196;Journal of Applied Corporate Finance;Hybrid;3000;2013;;;
0021-8901;Journal of Applied Ecology;Hybrid;3000;2013;;;
0883-7252;Journal of Applied Econometrics;Hybrid;3000;2013;;;
0931-2048;Journal of Applied Entomology;Hybrid;3000;2013;;;
0175-8659;Journal of Applied Ichthyology;Hybrid;3000;2013;;;
1364-5072;Journal of Applied Microbiology;Hybrid;3000;2013;;;
0264-3758;Journal of Applied Philosophy;Hybrid;3000;2013;;;
0021-8995;Journal of Applied Polymer Science;Hybrid;3000;2013;;;
1360-2322;Journal of Applied Research In Intellectual Disabilities;Hybrid;3000;2013;;;
0021-9029;Journal of Applied Social Psychology;Hybrid;3000;2013;;;
0260-437x;Journal of Applied Toxicology;Hybrid;3000;2013;;;
0908-8857;Journal of Avian Biology;Hybrid;3000;2013;;;
0233-111x;Journal of Basic Microbiology;Hybrid;3000;2013;;;
0894-3257;Journal of Behavioral Decision Making;Hybrid;3000;2013;;;
1095-6670;Journal of Biochemical and Molecular Toxicology;Hybrid;3000;2013;;;
0305-0270;Journal of Biogeography;Hybrid;3000;2013;;;
1549-3296;Journal of Biomedical Materials Research;Hybrid;3000;2013;;;
1552-4973;Journal of Biomedical Materials Research Part B: Applied Biomaterials;Hybrid;3000;2013;;;
1864-063x;Journal of Biophotonics;Hybrid;3000;2013;;;
0884-0431;Journal of Bone and Mineral Research;Hybrid;3000;2013;;;
0306-686x;"Journal of Business Finance &amp; Accounting";Hybrid;3000;2013;;;
0735-3766;Journal of Business Logistics;Hybrid;3000;2013;;;
0886-0440;Journal of Cardiac Surgery;Hybrid;3000;2013;;;
1045-3873;Journal of Cardiovascular Electrophysiology;Hybrid;3000;2013;;;
0730-2312;Journal of Cellular Biochemistry;Hybrid;3000;2013;;;
0021-9541;Journal of Cellular Physiology;Hybrid;3000;2013;;;
0268-2575;"Journal of Chemical Technology &amp; Biotechnology";Hybrid;3000;2013;;;
0886-9383;Journal of Chemometrics;Hybrid;3000;2013;;;
1073-6077;Journal of Child and Adolescent Psychiatric Nursing;Hybrid;3000;2013;;;
0021-9630;Journal of Child Psychology and Psychiatry;Hybrid;3000;2013;;;
0301-8121;Journal of Chinese Philosophy;Hybrid;3000;2013;;;
0733-2459;Journal of Clinical Apheresis;Hybrid;3000;2013;;;
1524-6175;Journal of Clinical Hypertension;Hybrid;3000;2013;;;
0887-8013;Journal of Clinical Laboratory Analysis;Hybrid;3000;2013;;;
0962-1067;Journal of Clinical Nursing;Hybrid;3000;2013;;;
0303-6979;Journal of Clinical Periodontology;Hybrid;3000;2013;;;
0091-2700;Journal of Clinical Pharmacology;Hybrid;3000;2013;;;
0269-4727;Journal of Clinical Pharmacy and Therapeutics;Hybrid;3000;2013;;;
0021-9762;Journal of Clinical Psychology;Hybrid;3000;2013;;;
0091-2751;Journal of Clinical Ultrasound;Hybrid;3000;2013;;;
1099-0399;Journal of College Counseling;Hybrid;3000;2013;;;
1063-8539;Journal of Combinatorial Designs;Hybrid;3000;2013;;;
0021-9916;Journal of Communication;Hybrid;3000;2013;;;
1052-9284;"Journal of Community &amp; Applied Social Psychology";Hybrid;3000;2013;;;
0090-4392;Journal of Community Psychology;Hybrid;3000;2013;;;
0192-8651;Journal of Computational Chemistry;Hybrid;3000;2013;;;
0266-4909;Journal of Computer Assisted Learning;Hybrid;3000;2013;;;
1083-6101;Journal of Computer-Mediated Communication;Hybrid;3000;2013;;;
0022-0078;Journal of Consumer Affairs;Hybrid;3000;2013;;;
1472-0817;Journal of Consumer Behaviour;Hybrid;3000;2013;;;
1936-7031;"Journal of Contemporary Water Research &amp; Education";Hybrid;3000;2013;;;
0966-0879;Journal of Contingencies and Crisis Management;Hybrid;3000;2013;;;
1473-2130;Journal of Cosmetic Dermatology;Hybrid;3000;2013;;;
0748-9633;"Journal of Counseling &amp; Development";Hybrid;3000;2013;;;
0303-6987;Journal of Cutaneous Pathology;Hybrid;3000;2013;;;
1753-0393;Journal of Diabetes;Hybrid;3000;2013;;;
2040-1116;Journal of Diabetes Investigation;Hybrid;3000;2013;;;
1751-2972;Journal of Digestive Diseases;Hybrid;3000;2013;;;
0022-0477;Journal of Ecology;Hybrid;3000;2013;;;
0950-0804;Journal of Economic Surveys;Hybrid;3000;2013;;;
1058-6407;"Journal of Economics &amp; Management Strategy";Hybrid;3000;2013;;;
1740-1453;Journal of Empirical Legal Studies;Hybrid;3000;2013;;;
0022-0787;Journal of Employment Counseling;Hybrid;3000;2013;;;
1496-4155;Journal of Esthetic and Restorative Dentistry;Hybrid;3000;2013;;;
1066-5234;Journal of Eukaryotic Microbiology;Hybrid;3000;2013;;;
1356-1294;Journal of Evaluation in Clinical Practice;Hybrid;3000;2013;;;
1756-5383;Journal of Evidence-Based Medicine;Hybrid;3000;2013;;;
1010-061x;Journal of Evolutionary Biology;Hybrid;3000;2013;;;
1548-8969;Journal of Experimental Zoology Part A: Ecological Genetics and Physiology;Hybrid;3000;2013;;;
1552-5007;Journal of Experimental Zoology Part B: Molecular and Developmental Evolution;Hybrid;3000;2013;;;
1756-2570;"Journal of Family Theory &amp; Review";Hybrid;3000;2013;;;
0163-4445;Journal of Family Therapy;Hybrid;3000;2013;;;
0273-8570;Journal of Field Ornithology;Hybrid;3000;2013;;;
1556-4959;Journal of Field Robotics;Hybrid;3000;2013;;;
0022-1112;Journal of Fish Biology;Hybrid;3000;2013;;;
0140-7775;Journal of Fish Diseases;Hybrid;3000;2013;;;
1753-318x;Journal of Flood Risk Management;Hybrid;3000;2013;;;
0145-8884;Journal of Food Biochemistry;Hybrid;3000;2013;;;
0145-8876;Journal of Food Process Engineering;Hybrid;3000;2013;;;
0145-8892;Journal of Food Processing and Preservation;Hybrid;3000;2013;;;
0146-9428;Journal of Food Quality;Hybrid;3000;2013;;;
0149-6085;Journal of Food Safety;Hybrid;3000;2013;;;
1748-0140;Journal of Foodservice;Hybrid;3000;2013;;;
0277-6693;Journal of Forecasting;Hybrid;3000;2013;;;
0022-1198;Journal of Forensic Sciences;Hybrid;3000;2013;;;
0815-9319;Journal of Gastroenterology and Hepatology;Hybrid;3000;2013;;;
1099-498x;Journal of Gene Medicine;Hybrid;3000;2013;;;
2169-897x;Journal of Geophysical Research: Atmospheres;Hybrid;3000;2013;;;
2169-8953;Journal of Geophysical Research: Biogeosciences;Hybrid;3000;2013;;;
2169-9003;Journal of Geophysical Research: Earth Surface;Hybrid;3000;2013;;;
2169-9275;Journal of Geophysical Research: Oceans;Hybrid;3000;2013;;;
2169-9097;Journal of Geophysical Research: Planets;Hybrid;3000;2013;;;
2169-9313;Journal of Geophysical Research: Solid Earth;Hybrid;3000;2013;;;
2169-9380;Journal of Geophysical Research: Space Physics;Hybrid;3000;2013;;;
0364-9024;Journal of Graph Theory;Hybrid;3000;2013;;;
0022-152x;Journal of Heterocyclic Chemistry;Hybrid;3000;2013;;;
0952-1909;Journal of Historical Sociology;Hybrid;3000;2013;;;
1553-5592;Journal of Hospital Medicine;Hybrid;3000;2013;;;
0952-3871;Journal of Human Nutrition and Dietetics;Hybrid;3000;2013;;;
1088-1980;Journal of Industrial Ecology;Hybrid;3000;2013;;;
1672-9072;Journal of Integrative Plant Biology;Hybrid;3000;2013;;;
0964-2633;Journal of Intellectual Disability Research;Hybrid;3000;2013;;;
1071-7641;Journal of Interior Design;Hybrid;3000;2013;;;
0954-6820;Journal of Internal Medicine;Hybrid;3000;2013;;;
0954-1748;Journal of International Development;Hybrid;3000;2013;;;
0954-1314;"Journal of International Financial Management &amp; Accounting";Hybrid;3000;2013;;;
0896-4327;Journal of Interventional Cardiology;Hybrid;3000;2013;;;
2041-1618;Journal of Investigative and Clinical Dentistry;Hybrid;3000;2013;;;
0022-202x;Journal of Investigative Dermatology;Hybrid;3000;2013;;;
1544-4759;Journal of Investigative Psychology and Offender Profiling;Hybrid;3000;2013;;;
0362-4803;Journal of Labelled Compounds and Radiopharmaceuticals;Hybrid;3000;2013;;;
1935-4932;"Journal of Latin American &amp; Caribbean Anthropology";Hybrid;3000;2013;;;
0263-323x;Journal of Law and Society;Hybrid;3000;2013;;;
0896-5811;Journal of Legal Studies Education;Hybrid;3000;2013;;;
1055-1360;Journal of Linguistic Anthropology;Hybrid;3000;2013;;;
1053-1807;Journal of Magnetic Resonance Imaging;Hybrid;3000;2013;;;
0194-472x;Journal of Marital and Family Therapy;Hybrid;3000;2013;;;
0022-2445;Journal of Marriage and Family;Hybrid;3000;2013;;;
1076-5174;Journal of Mass Spectrometry;Hybrid;3000;2013;;;
1754-9477;Journal of Medical Imaging and Radiation Oncology;Hybrid;3000;2013;;;
0047-2565;Journal of Medical Primatology;Hybrid;3000;2013;;;
0146-6615;Journal of Medical Virology;Hybrid;3000;2013;;;
0263-4929;Journal of Metamorphic geology;Hybrid;3000;2013;;;
0022-2720;Journal of Microscopy;Hybrid;3000;2013;;;
1526-9523;Journal of Midwifery and Women's Health;Hybrid;3000;2013;;;
0022-2879;Journal of Money, Credit and Banking;Hybrid;3000;2013;;;
0362-2525;Journal of Morphology;Hybrid;3000;2013;;;
1057-9214;Journal of Multi Criteria Decision Analysis;Hybrid;3000;2013;;;
0883-8534;Journal of Multicultural Counseling and Development;Hybrid;3000;2013;;;
0022-3042;Journal of Neurochemistry;Hybrid;3000;2013;;;
0953-8194;Journal of Neuroendocrinology;Hybrid;3000;2013;;;
1051-2284;Journal of Neuroimaging;Hybrid;3000;2013;;;
1748-6645;Journal of Neuropsychology;Hybrid;3000;2013;;;
0360-4012;Journal of Neuroscience Research;Hybrid;3000;2013;;;
0966-0429;Journal of Nursing Management;Hybrid;3000;2013;;;
1527-6546;Journal of Nursing Scholarship;Hybrid;3000;2013;;;
